Action,PropID,N1,N2,N3,N4
QUAD,7,11159,685481,11160,262231
QUAD,7,12851,180659,12852,153228
QUAD,2,13737,14062,14089,14087
QUAD,3,16142,132082,132684,131995
QUAD,3,16624,132881,133894,132805
QUAD,7,17897,326586,17898,263279
QUAD,2,21923,21924,23053,41854
QUAD,2,22232,23873,22243,22233
QUAD,2,22799,23513,23511,22962
QUAD,2,23794,23795,42593,24143
QUAD,2,31964,32149,31966,32423
QUAD,2,35468,36924,35470,35469
QUAD,17,56490,624512,624514,624515
QUAD,3,60414,60509,60519,60415
QUAD,3,60544,60545,60659,60669
QUAD,17,79703,637756,624169,669255
QUAD,7,79870,327434,328167,327819
QUAD,10,140154,140155,140156,140239
QUAD,4,157959,158250,157960,325323
QUAD,7,206595,353713,207166,354196
QUAD,7,311308,312809,311310,312150
QUAD,7,313327,316889,314440,357860
QUAD,10,320211,442088,320213,482850
QUAD,10,320438,462316,462226,514573
QUAD,8,365164,365165,367618,390391
QUAD,8,374619,375004,376596,396526
QUAD,8,397909,398592,400349,398065
QUAD,10,424787,486953,424884,490122
QUAD,19,576164,576185,576184,590508
QUAD,19,576164,580730,580731,590499
QUAD,19,576194,576195,576196,590444
QUAD,19,576196,590307,580749,580748
QUAD,19,576249,576250,576251,590515
QUAD,19,576249,580803,580802,590492
QUAD,19,576362,576363,576364,590451
QUAD,19,576362,590300,580861,580862
QUAD,19,576391,576392,576393,590547
QUAD,19,576393,590524,580869,580868
QUAD,19,576419,590483,576421,576420
QUAD,19,576421,590460,580899,580898
QUAD,19,576474,580953,580952,590531
QUAD,19,576474,590540,576476,576475
QUAD,19,576587,581012,581011,590467
QUAD,19,576587,590476,576589,576588
QUAD,19,577017,577033,590669,577031
QUAD,19,578015,578016,578017,590387
QUAD,19,578015,590396,581389,581390
QUAD,19,578034,578035,578036,590380
QUAD,19,578036,590403,581400,581399
QUAD,19,578089,578090,578091,590355
QUAD,19,578089,590364,581453,581454
QUAD,19,578196,578208,578207,590348
QUAD,19,578196,590371,581508,581507
QUAD,19,578227,590435,581533,581534
QUAD,19,578227,578228,578229,590412
QUAD,19,578260,590419,578262,578261
QUAD,19,578262,590428,581550,581549
QUAD,19,578315,590323,581603,581604
QUAD,19,578315,578316,578317,590332
QUAD,17,636981,669197,637488,637846
QUAD,17,637000,669193,637471,637842
TRIA,7,11111,262182,328917,0
TRIA,7,12901,327842,328168,0
TRIA,2,21844,22364,22517,0
TRIA,2,30021,30724,30778,0
TRIA,6,45675,214706,215186,0
TRIA,3,72315,72316,121057,0
TRIA,3,74032,74033,128044,0
TRIA,7,74395,326778,327325,0
TRIA,7,117725,265090,265091,0
TRIA,7,136291,262369,685749,0
TRIA,6,199555,199556,236660,0
TRIA,6,202092,202093,248563,0
TRIA,6,202133,202134,248521,0
TRIA,7,331308,331309,331310,0
TRIA,17,405087,665851,665852,0
TRIA,8,424559,424561,424562,0
TRIA,19,576691,576692,581035,0
TRIA,21,577030,577031,590993,0
TRIA,21,577040,577041,591000,0
TRIA,21,577049,577068,590978,0
TRIA,19,577050,577051,577294,0
TRIA,21,577058,577059,590985,0
TRIA,19,577387,577388,581211,0
TRIA,19,577464,577465,577536,0
TRIA,21,577721,577740,591062,0
TRIA,21,577730,577731,591069,0
TRIA,21,577742,577743,591058,0
TRIA,21,577752,577753,591049,0
TRIA,19,581017,581018,581186,0
TRIA,19,581206,581221,581368,0
TRIA,17,664271,664272,664273,0
TRIA,25,364634,364623,364624,0
TRIA,25,364634,364624,364625,0
TRIA,25,364634,364625,364626,0
TRIA,25,364634,364626,364627,0
TRIA,25,364634,364627,364628,0
TRIA,25,364634,364628,364629,0
TRIA,25,364634,364629,364630,0
TRIA,25,364634,364630,364631,0
TRIA,25,364634,364631,364632,0
TRIA,25,364632,364633,364634,0
TRIA,17,631106,631669,631108,0
TRIA,17,631317,631106,631108,0
TRIA,17,631108,632093,631710,0
TRIA,17,631108,631710,631317,0
TRIA,23,600167,600168,600169,0
TRIA,23,600167,600169,602503,0
TRIA,23,602500,600524,600525,0
TRIA,23,602501,602500,600525,0
TRIA,23,602501,600525,600167,0
TRIA,23,602501,600167,602503,0
TRIA,23,602503,602502,602501,0
TRIA,23,600175,600174,602510,0
TRIA,23,600175,602510,602511,0
