ElementID,Action,N1,N2,N3,N4
6630,TRIA,9363,7064,9300,0
8397,TRIA,11159,11752,11751,0
8411,TRIA,11775,11111,11365,0
9731,TRIA,12967,12851,12970,0
9932,TRIA,13168,13219,13167,0
10555,DELETE,0,0,0,0
11236,DELETE,0,0,0,0
11266,DELETE,0,0,0,0
11556,TRIA,15552,15553,15339,0
11602,TRIA,15598,15599,15293,0
11606,TRIA,15702,15704,15752,0
11702,TRIA,15653,15753,9873,0
11703,DELETE,0,0,0,0
11704,DELETE,0,0,0,0
11712,TRIA,15763,15764,15761,0
11715,TRIA,15766,13325,13326,0
11832,TRIA,15948,15949,15946,0
11837,TRIA,15953,15763,15762,0
11886,TRIA,16029,16083,16030,0
12631,TRIA,17122,17128,17126,0
12632,TRIA,17122,17123,17121,0
12633,DELETE,0,0,0,0
12634,DELETE,0,0,0,0
12635,DELETE,0,0,0,0
12636,DELETE,0,0,0,0
12651,TRIA,17237,14359,17236,0
12997,TRIA,17620,16058,17619,0
13974,TRIA,19085,17897,17898,0
14171,TRIA,19093,17946,17947,0
14429,TRIA,19330,19337,19328,0
14434,TRIA,19341,19336,19323,0
14479,TRIA,19336,19395,19368,0
14502,TRIA,19417,19394,19345,0
14503,TRIA,19491,19493,19599,0
14613,TRIA,19613,19607,19625,0
14659,TRIA,19329,19628,19330,0
14792,DELETE,0,0,0,0
14976,TRIA,20199,20200,20203,0
14980,DELETE,0,0,0,0
15037,DELETE,0,0,0,0
15087,DELETE,0,0,0,0
15096,DELETE,0,0,0,0
15105,DELETE,0,0,0,0
16214,DELETE,0,0,0,0
16251,DELETE,0,0,0,0
16458,TRIA,21844,22005,22367,0
16497,TRIA,22364,22365,22517,0
17173,TRIA,22365,23329,23328,0
17350,TRIA,23053,23339,23338,0
17586,TRIA,23511,23513,23710,0
17631,TRIA,22233,22232,23873,0
17799,TRIA,24043,23712,24042,0
17879,TRIA,23963,23795,23962,0
18268,TRIA,23513,24980,23511,0
18293,TRIA,22962,23513,22799,0
20672,TRIA,22799,27980,23513,0
20729,TRIA,21844,28358,28268,0
20906,TRIA,21923,28277,28278,0
21703,TRIA,22233,29544,29543,0
21880,TRIA,24143,29554,29553,0
22171,TRIA,30021,30182,30178,0
22494,TRIA,30022,30669,30672,0
22718,TRIA,30020,30267,30022,0
22722,TRIA,30021,30724,30778,0
23611,TRIA,31964,31718,32149,0
23817,TRIA,32423,31966,31964,0
26118,TRIA,35245,35242,34407,0
26186,DELETE,0,0,0,0
26196,TRIA,35291,35289,34364,0
27975,DELETE,0,0,0,0
27976,DELETE,0,0,0,0
29249,TRIA,38217,15111,38227,0
29369,TRIA,14360,38166,14361,0
29429,TRIA,15114,38536,38219,0
30603,DELETE,0,0,0,0
30604,DELETE,0,0,0,0
30611,TRIA,39999,17125,38050,0
30617,DELETE,0,0,0,0
30620,DELETE,0,0,0,0
30726,DELETE,0,0,0,0
33007,TRIA,23712,23873,22243,0
35714,TRIA,45306,45308,45305,0
35804,TRIA,45424,45426,45423,0
35893,TRIA,45540,45542,45539,0
36006,TRIA,45807,45815,45777,0
36028,TRIA,45828,45817,45794,0
36260,TRIA,46103,46122,46102,0
36286,TRIA,46158,46166,46121,0
36885,TRIA,46910,46929,46909,0
36911,TRIA,46965,46973,46763,0
36956,TRIA,47002,47021,47001,0
36982,TRIA,47057,47065,46810,0
37027,TRIA,47094,47113,47093,0
37053,TRIA,47149,47157,46857,0
37126,TRIA,47231,47249,47215,0
37151,TRIA,47278,47232,47289,0
37327,TRIA,47477,47495,47461,0
37352,TRIA,47524,47478,47535,0
37440,TRIA,47563,47565,47562,0
37529,TRIA,47679,47169,47678,0
37638,TRIA,47888,47906,47872,0
37663,TRIA,47935,47889,47946,0
37929,TRIA,48200,48202,48199,0
38313,TRIA,48803,48792,48767,0
38337,TRIA,48808,48816,47948,0
38452,TRIA,48883,48501,48882,0
38499,TRIA,49005,49023,47825,0
38524,TRIA,49052,49006,49063,0
40871,DELETE,0,0,0,0
41437,TRIA,52537,52539,52536,0
42125,DELETE,0,0,0,0
42158,DELETE,0,0,0,0
42191,DELETE,0,0,0,0
42276,DELETE,0,0,0,0
42307,DELETE,0,0,0,0
42338,DELETE,0,0,0,0
42380,TRIA,53813,53431,53812,0
42398,TRIA,53843,53478,53842,0
42416,TRIA,53873,53525,53872,0
42461,TRIA,53913,53931,53897,0
42486,TRIA,53960,53914,53971,0
42891,TRIA,54436,54454,54420,0
42916,TRIA,54483,54437,54494,0
42924,DELETE,0,0,0,0
42966,TRIA,54554,54556,54496,0
42972,DELETE,0,0,0,0
43101,TRIA,54723,54747,54722,0
43127,TRIA,54783,54791,54742,0
43580,TRIA,55344,55346,55343,0
43587,TRIA,55390,55392,55320,0
43617,DELETE,0,0,0,0
43651,DELETE,0,0,0,0
43701,DELETE,0,0,0,0
43862,TRIA,55733,55757,55732,0
43888,TRIA,55793,55801,55752,0
43933,TRIA,55835,55853,55819,0
43958,TRIA,55882,55836,55893,0
44004,TRIA,55931,55941,55930,0
44030,TRIA,55977,55985,55904,0
44075,TRIA,56019,56037,55674,0
44100,TRIA,56066,56020,56077,0
44146,TRIA,56115,56125,56114,0
44172,TRIA,56161,56169,56088,0
47658,DELETE,0,0,0,0
47665,REORDER,60415,60519,60414,60509
47781,DELETE,0,0,0,0
47795,REORDER,60659,60544,60669,60545
47902,TRIA,60704,60706,60703,0
48253,TRIA,61187,60999,61186,0
48334,TRIA,61305,61039,61304,0
48338,TRIA,61281,61283,61280,0
48494,TRIA,61517,55685,61516,0
48581,TRIA,61646,61647,61649,0
48585,TRIA,61669,61670,61618,0
48953,TRIA,61851,62129,61850,0
49042,TRIA,60299,62245,61890,0
49131,TRIA,60244,62361,61930,0
49238,TRIA,62478,62480,62477,0
49347,TRIA,62617,62619,62616,0
49456,TRIA,62756,62758,62755,0
49565,TRIA,62895,62897,62894,0
49596,TRIA,63019,63016,63017,0
49825,TRIA,60857,63212,63209,0
49870,TRIA,63360,63357,55666,0
50099,TRIA,63548,63550,63547,0
50358,TRIA,63853,63855,63852,0
50855,TRIA,64592,64436,63854,0
52534,TRIA,66515,66517,66514,0
52600,TRIA,66601,66603,66600,0
53262,TRIA,67525,67527,67524,0
53274,TRIA,67552,67561,67550,0
54204,TRIA,68761,69135,69134,0
54211,DELETE,0,0,0,0
54212,DELETE,0,0,0,0
54213,DELETE,0,0,0,0
54214,DELETE,0,0,0,0
54215,DELETE,0,0,0,0
54216,DELETE,0,0,0,0
54217,DELETE,0,0,0,0
54218,DELETE,0,0,0,0
54219,DELETE,0,0,0,0
54220,DELETE,0,0,0,0
54221,DELETE,0,0,0,0
54222,DELETE,0,0,0,0
54223,DELETE,0,0,0,0
54225,DELETE,0,0,0,0
54228,DELETE,0,0,0,0
54231,DELETE,0,0,0,0
55862,TRIA,68587,70537,68818,0
56028,DELETE,0,0,0,0
56099,TRIA,68635,70761,68633,0
56572,DELETE,0,0,0,0
56667,DELETE,0,0,0,0
56826,DELETE,0,0,0,0
56916,DELETE,0,0,0,0
56917,DELETE,0,0,0,0
56918,DELETE,0,0,0,0
56919,DELETE,0,0,0,0
57445,DELETE,0,0,0,0
57967,DELETE,0,0,0,0
57968,DELETE,0,0,0,0
57969,DELETE,0,0,0,0
57981,DELETE,0,0,0,0
57982,DELETE,0,0,0,0
57983,DELETE,0,0,0,0
57986,TRIA,72972,72974,72971,0
58494,TRIA,73451,73453,73450,0
58643,TRIA,73660,73752,73452,0
58814,TRIA,73822,73823,73825,0
59362,DELETE,0,0,0,0
60334,REORDER,13917,75822,13916,75821
60381,DELETE,0,0,0,0
61027,TRIA,76412,76407,76410,0
61033,DELETE,0,0,0,0
61129,DELETE,0,0,0,0
61130,DELETE,0,0,0,0
61131,DELETE,0,0,0,0
61132,DELETE,0,0,0,0
61133,DELETE,0,0,0,0
61134,DELETE,0,0,0,0
61135,DELETE,0,0,0,0
61136,DELETE,0,0,0,0
61137,DELETE,0,0,0,0
61138,DELETE,0,0,0,0
61139,DELETE,0,0,0,0
61140,DELETE,0,0,0,0
61141,DELETE,0,0,0,0
61142,DELETE,0,0,0,0
61143,DELETE,0,0,0,0
61144,DELETE,0,0,0,0
61145,DELETE,0,0,0,0
61146,DELETE,0,0,0,0
61147,DELETE,0,0,0,0
61148,DELETE,0,0,0,0
61149,DELETE,0,0,0,0
61150,DELETE,0,0,0,0
61151,DELETE,0,0,0,0
61152,DELETE,0,0,0,0
61153,DELETE,0,0,0,0
61154,DELETE,0,0,0,0
61155,DELETE,0,0,0,0
61156,DELETE,0,0,0,0
61157,DELETE,0,0,0,0
61158,DELETE,0,0,0,0
61159,DELETE,0,0,0,0
61160,DELETE,0,0,0,0
