ElementID,Action,N1,N2,N3,N4
8397,DELETE,0,0,0,0
8411,DELETE,0,0,0,0
9731,DELETE,0,0,0,0
9932,DELETE,0,0,0,0
11606,DELETE,0,0,0,0
11702,DELETE,0,0,0,0
11886,DELETE,0,0,0,0
12631,DELETE,0,0,0,0
12632,DELETE,0,0,0,0
12651,DELETE,0,0,0,0
12997,DELETE,0,0,0,0
14503,DELETE,0,0,0,0
14613,DELETE,0,0,0,0
14659,DELETE,0,0,0,0
14976,DELETE,0,0,0,0
16458,DELETE,0,0,0,0
16497,DELETE,0,0,0,0
17173,DELETE,0,0,0,0
17350,DELETE,0,0,0,0
17586,DELETE,0,0,0,0
17631,DELETE,0,0,0,0
17799,DELETE,0,0,0,0
17879,DELETE,0,0,0,0
20672,DELETE,0,0,0,0
20729,DELETE,0,0,0,0
20906,DELETE,0,0,0,0
21703,DELETE,0,0,0,0
21880,DELETE,0,0,0,0
22171,DELETE,0,0,0,0
22494,DELETE,0,0,0,0
22722,DELETE,0,0,0,0
23611,DELETE,0,0,0,0
23817,DELETE,0,0,0,0
29249,DELETE,0,0,0,0
29369,DELETE,0,0,0,0
30611,DELETE,0,0,0,0
33007,DELETE,0,0,0,0
35714,DELETE,0,0,0,0
35804,DELETE,0,0,0,0
35893,DELETE,0,0,0,0
36260,DELETE,0,0,0,0
36885,DELETE,0,0,0,0
36956,DELETE,0,0,0,0
37027,DELETE,0,0,0,0
37151,DELETE,0,0,0,0
37352,DELETE,0,0,0,0
37440,DELETE,0,0,0,0
37529,DELETE,0,0,0,0
37663,DELETE,0,0,0,0
37929,DELETE,0,0,0,0
38452,DELETE,0,0,0,0
38524,DELETE,0,0,0,0
41437,DELETE,0,0,0,0
42380,DELETE,0,0,0,0
42398,DELETE,0,0,0,0
42416,DELETE,0,0,0,0
42486,DELETE,0,0,0,0
42916,DELETE,0,0,0,0
42966,DELETE,0,0,0,0
43101,DELETE,0,0,0,0
43580,DELETE,0,0,0,0
43587,DELETE,0,0,0,0
43862,DELETE,0,0,0,0
43958,DELETE,0,0,0,0
44004,DELETE,0,0,0,0
44100,DELETE,0,0,0,0
44146,DELETE,0,0,0,0
47902,DELETE,0,0,0,0
48253,DELETE,0,0,0,0
48334,DELETE,0,0,0,0
48338,DELETE,0,0,0,0
48494,DELETE,0,0,0,0
48581,DELETE,0,0,0,0
48585,DELETE,0,0,0,0
48953,DELETE,0,0,0,0
49042,DELETE,0,0,0,0
49131,DELETE,0,0,0,0
49238,DELETE,0,0,0,0
49347,DELETE,0,0,0,0
49456,DELETE,0,0,0,0
49565,DELETE,0,0,0,0
49825,DELETE,0,0,0,0
50099,DELETE,0,0,0,0
50358,DELETE,0,0,0,0
52534,DELETE,0,0,0,0
52600,DELETE,0,0,0,0
53262,DELETE,0,0,0,0
54204,DELETE,0,0,0,0
57986,DELETE,0,0,0,0
58494,DELETE,0,0,0,0
58814,DELETE,0,0,0,0
61185,DELETE,0,0,0,0
